"CubeId";"devkum"
"PublishingDate";"2022-06-01 14:30"

"Date";"D0";"D1";"Value"
"2001-04";"M0";"USD6M";
"2001-05";"M0";"EUR1";"1.5337"
"2001-05";"M0";"GBP1";"2.4975"
"2001-05";"M0";"DKK100";"20.551"
"2001-05";"M0";"NOK100";"19.1705"
"2001-05";"M0";"CZK100";"4.4596"
"2001-05";"M0";"HUF100";"0.5929"
"2001-05";"M0";"PLN100";"43.9586"
"2001-05";"M0";"RUB1";"0.0603"
"2001-05";"M0";"SEK100";"16.9252"
"2001-05";"M0";"TRY100";"0.00015"
"2001-05";"M0";"USD1";"1.7519"
"2001-05";"M0";"CAD1";"1.1366"
"2001-05";"M0";"ARS1";"175.2476"
"2001-05";"M0";"BRL100";"76.5762"
"2001-05";"M0";"MXN100";"19.14"
"2001-05";"M0";"ZAR1";"0.2197"
"2001-05";"M0";"JPY100";"1.43826"
"2001-05";"M0";"AUD1";"0.91208"
"2001-05";"M0";"CNY100";"21.17961"
"2001-05";"M0";"HKD100";"22.46043"
"2001-05";"M0";"KRW100";"0.135"
"2001-05";"M0";"MYR100";"46.0971"
"2001-05";"M0";"NZD1";"0.7396"
"2001-05";"M0";"SGD1";"0.9655"
"2001-05";"M0";"THB100";"3.8495"
"2001-05";"M0";"XDR1";"2.21202"
"2001-05";"M0";"USD3M";
"2001-05";"M0";"USD6M";
"2001-06";"M0";"EUR1";"1.5225"
"2001-06";"M0";"GBP1";"2.4986"
"2001-06";"M0";"DKK100";"20.421"
"2001-06";"M0";"NOK100";"19.185"
"2001-06";"M0";"CZK100";"4.4819"
"2001-06";"M0";"HUF100";"0.6153"
"2001-06";"M0";"PLN100";"44.883"
"2001-06";"M0";"RUB1";"0.0611"
"2001-06";"M0";"SEK100";"16.536"
"2001-06";"M0";"TRY100";"0.00015"
"2001-06";"M0";"USD1";"1.7827"
"2001-06";"M0";"CAD1";"1.1691"
"2001-06";"M0";"ARS1";"178.3085"
"2001-06";"M0";"BRL100";"74.885"
"2001-06";"M0";"MXN100";"19.6065"
"2001-06";"M0";"ZAR1";"0.2211"
"2001-06";"M0";"JPY100";"1.45711"
"2001-06";"M0";"AUD1";"0.92404"
"2001-06";"M0";"CNY100";"21.56724"
"2001-06";"M0";"HKD100";"22.85631"
"2001-06";"M0";"KRW100";"0.1375"
"2001-06";"M0";"MYR100";"46.9085"
"2001-06";"M0";"NZD1";"0.7386"
"2001-06";"M0";"SGD1";"0.9815"
"2001-06";"M0";"THB100";"3.9388"
"2001-06";"M0";"XDR1";"2.23012"
"2001-06";"M0";"USD3M";
"2001-06";"M0";"USD6M";
"2001-07";"M0";"EUR1";"1.5134"
"2001-07";"M0";"GBP1";"2.4867"
"2001-07";"M0";"DKK100";"20.3245"
"2001-07";"M0";"NOK100";"18.9864"
"2001-07";"M0";"CZK100";"4.4685"
"2001-07";"M0";"HUF100";"0.6074"
"2001-07";"M0";"PLN100";"41.9923"
"2001-07";"M0";"RUB1";"0.0602"
"2001-07";"M0";"SEK100";"16.3423"
"2001-07";"M0";"TRY100";"0.00013"
"2001-07";"M0";"USD1";"1.7602"
"2001-07";"M0";"CAD1";"1.1514"
"2001-07";"M0";"ARS1";"176.1023"
"2001-07";"M0";"BRL100";"71.6091"
"2001-07";"M0";"MXN100";"19.1977"
"2001-07";"M0";"ZAR1";"0.2146"
"2001-07";"M0";"JPY100";"1.41294"
"2001-07";"M0";"AUD1";"0.89675"
"2001-07";"M0";"CNY100";"21.24191"
"2001-07";"M0";"HKD100";"22.56568"
"2001-07";"M0";"KRW100";"0.1348"
"2001-07";"M0";"MYR100";"46.3136"
"2001-07";"M0";"NZD1";"0.7184"
"2001-07";"M0";"SGD1";"0.9651"
"2001-07";"M0";"THB100";"3.8575"
"2001-07";"M0";"XDR1";"2.19947"
"2001-07";"M0";"USD3M";
"2001-07";"M0";"USD6M";
"2001-08";"M0";"EUR1";"1.5144"
"2001-08";"M0";"GBP1";"2.4137"
"2001-08";"M0";"DKK100";"20.3355"
"2001-08";"M0";"NOK100";"18.7914"
"2001-08";"M0";"CZK100";"4.4455"
"2001-08";"M0";"HUF100";"0.6077"
"2001-08";"M0";"PLN100";"39.5591"
"2001-08";"M0";"RUB1";"0.0572"
"2001-08";"M0";"SEK100";"16.2623"
"2001-08";"M0";"TRY100";"0.00012"
"2001-08";"M0";"USD1";"1.6799"
"2001-08";"M0";"CAD1";"1.0917"
"2001-08";"M0";"ARS1";"168.0818"
"2001-08";"M0";"BRL100";"66.9455"
"2001-08";"M0";"MXN100";"18.4068"
"2001-08";"M0";"ZAR1";"0.2021"
"2001-08";"M0";"JPY100";"1.38413"
"2001-08";"M0";"AUD1";"0.88177"
"2001-08";"M0";"CNY100";"20.29491"
"2001-08";"M0";"HKD100";"21.53757"
"2001-08";"M0";"KRW100";"0.1306"
"2001-08";"M0";"MYR100";"44.2041"
"2001-08";"M0";"NZD1";"0.7251"
"2001-08";"M0";"SGD1";"0.9543"
"2001-08";"M0";"THB100";"3.7428"
"2001-08";"M0";"XDR1";"2.1437"
"2001-08";"M0";"USD3M";
"2001-08";"M0";"USD6M";
"2001-09";"M0";"EUR1";"1.4919"
"2001-09";"M0";"GBP1";"2.3951"
"2001-09";"M0";"DKK100";"20.0405"
"2001-09";"M0";"NOK100";"18.6525"
"2001-09";"M0";"CZK100";"4.3653"
"2001-09";"M0";"HUF100";"0.5824"
"2001-09";"M0";"PLN100";"38.7905"
"2001-09";"M0";"RUB1";"0.0556"
"2001-09";"M0";"SEK100";"15.4205"
"2001-09";"M0";"TRY100";"0.00011"
"2001-09";"M0";"USD1";"1.6386"
"2001-09";"M0";"CAD1";"1.0468"
"2001-09";"M0";"ARS1";"163.917"
"2001-09";"M0";"BRL100";"61.68"
"2001-09";"M0";"MXN100";"17.414"
"2001-09";"M0";"ZAR1";"0.1898"
"2001-09";"M0";"JPY100";"1.37878"
"2001-09";"M0";"AUD1";"0.82913"
"2001-09";"M0";"CNY100";"19.75935"
"2001-09";"M0";"HKD100";"21.00698"
"2001-09";"M0";"KRW100";"0.1265"
"2001-09";"M0";"MYR100";"43.1145"
"2001-09";"M0";"NZD1";"0.6863"
"2001-09";"M0";"SGD1";"0.9371"
"2001-09";"M0";"THB100";"3.6946"
"2001-09";"M0";"XDR1";"2.1019"
"2001-09";"M0";"USD3M";
"2001-09";"M0";"USD6M";
"2001-10";"M0";"EUR1";"1.4796"
"2001-10";"M0";"GBP1";"2.3698"
"2001-10";"M0";"DKK100";"19.89"
"2001-10";"M0";"NOK100";"18.5004"
"2001-10";"M0";"CZK100";"4.4079"
"2001-10";"M0";"HUF100";"0.5795"
"2001-10";"M0";"PLN100";"39.4748"
"2001-10";"M0";"RUB1";"0.0552"
"2001-10";"M0";"SEK100";"15.4465"
"2001-10";"M0";"TRY100";"0.0001"
"2001-10";"M0";"USD1";"1.6329"
"2001-10";"M0";"CAD1";"1.0397"
"2001-10";"M0";"ARS1";"163.3526"
"2001-10";"M0";"BRL100";"59.6565"
"2001-10";"M0";"MXN100";"17.4496"
"2001-10";"M0";"ZAR1";"0.1761"
"2001-10";"M0";"JPY100";"1.3461"
"2001-10";"M0";"AUD1";"0.8235"
"2001-10";"M0";"CNY100";"19.73922"
"2001-10";"M0";"HKD100";"20.93379"
"2001-10";"M0";"KRW100";"0.1252"
"2001-10";"M0";"MYR100";"42.9657"
"2001-10";"M0";"NZD1";"0.6761"
"2001-10";"M0";"SGD1";"0.9023"
"2001-10";"M0";"THB100";"3.6493"
"2001-10";"M0";"XDR1";"2.09004"
"2001-10";"M0";"USD3M";
"2001-10";"M0";"USD6M";
"2001-11";"M0";"EUR1";"1.4665"
"2001-11";"M0";"GBP1";"2.3717"
"2001-11";"M0";"DKK100";"19.6927"
"2001-11";"M0";"NOK100";"18.5086"
"2001-11";"M0";"CZK100";"4.4024"
"2001-11";"M0";"HUF100";"0.5828"
"2001-11";"M0";"PLN100";"40.325"
"2001-11";"M0";"RUB1";"0.0553"
"2001-11";"M0";"SEK100";"15.5759"
"2001-11";"M0";"TRY100";"0.00011"
"2001-11";"M0";"USD1";"1.6509"
"2001-11";"M0";"CAD1";"1.036"
"2001-11";"M0";"ARS1";"165.3236"
"2001-11";"M0";"BRL100";"64.6364"
"2001-11";"M0";"MXN100";"17.8959"
"2001-11";"M0";"ZAR1";"0.1698"
"2001-11";"M0";"JPY100";"1.34847"
"2001-11";"M0";"AUD1";"0.85329"
"2001-11";"M0";"CNY100";"19.94041"
"2001-11";"M0";"HKD100";"21.16596"
"2001-11";"M0";"KRW100";"0.1287"
"2001-11";"M0";"MYR100";"43.4395"
"2001-11";"M0";"NZD1";"0.6871"
"2001-11";"M0";"SGD1";"0.9019"
"2001-11";"M0";"THB100";"3.7171"
"2001-11";"M0";"XDR1";"2.09432"
"2001-11";"M0";"USD3M";
"2001-11";"M0";"USD6M";
"2001-12";"M0";"EUR1";"1.4743"
"2001-12";"M0";"GBP1";"2.3743"
"2001-12";"M0";"DKK100";"19.8017"
"2001-12";"M0";"NOK100";"18.4333"
"2001-12";"M0";"CZK100";"4.5312"
"2001-12";"M0";"HUF100";"0.5947"
"2001-12";"M0";"PLN100";"41.0494"
"2001-12";"M0";"RUB1";"0.0546"
"2001-12";"M0";"SEK100";"15.6161"
"2001-12";"M0";"TRY100";"0.00011"
"2001-12";"M0";"USD1";"1.6498"
"2001-12";"M0";"CAD1";"1.0467"
"2001-12";"M0";"ARS1";"164.8917"
"2001-12";"M0";"BRL100";"69.4889"
"2001-12";"M0";"MXN100";"17.9944"
"2001-12";"M0";"ZAR1";"0.1426"
"2001-12";"M0";"JPY100";"1.29877"
"2001-12";"M0";"AUD1";"0.8489"
"2001-12";"M0";"CNY100";"20.03229"
"2001-12";"M0";"HKD100";"21.15354"
"2001-12";"M0";"KRW100";"0.1282"
"2001-12";"M0";"MYR100";"43.4094"
"2001-12";"M0";"NZD1";"0.6857"
"2001-12";"M0";"SGD1";"0.8981"
"2001-12";"M0";"THB100";"3.7565"
"2001-12";"M0";"XDR1";"2.08857"
"2001-12";"M0";"USD3M";
"2001-12";"M0";"USD6M";
"2002-01";"M0";"EUR1";"1.4738"
"2002-01";"M0";"GBP1";"2.3891"
"2002-01";"M0";"DKK100";"19.8229"
"2002-01";"M0";"NOK100";"18.6057"
"2002-01";"M0";"CZK100";"4.5957"
"2002-01";"M0";"HUF100";"0.6038"
"2002-01";"M0";"PLN100";"41.0262"
"2002-01";"M0";"RUB1";"0.0545"
"2002-01";"M0";"SEK100";"15.9614"
"2002-01";"M0";"TRY100";"0.00012"
"2002-01";"M0";"USD1";"1.6681"
"2002-01";"M0";"CAD1";"1.0426"
"2002-01";"M0";"ARS1";"114.021"
"2002-01";"M0";"BRL100";"70.1381"
"2002-01";"M0";"MXN100";"18.1867"
"2002-01";"M0";"ZAR1";"0.144"
"2002-01";"M0";"JPY100";"1.2579"
"2002-01";"M0";"AUD1";"0.86279"
"2002-01";"M0";"CNY100";"20.17748"
"2002-01";"M0";"HKD100";"21.38904"
"2002-01";"M0";"KRW100";"0.1267"
"2002-01";"M0";"MYR100";"43.8924"
"2002-01";"M0";"NZD1";"0.7082"
"2002-01";"M0";"SGD1";"0.9072"
"2002-01";"M0";"THB100";"3.789"
"2002-01";"M0";"XDR1";"2.09281"
"2002-01";"M0";"USD3M";
"2002-01";"M0";"USD6M";
"2002-02";"M0";"EUR1";"1.4774"
"2002-02";"M0";"GBP1";"2.4155"
"2002-02";"M0";"DKK100";"19.879"
"2002-02";"M0";"NOK100";"18.9665"
"2002-02";"M0";"CZK100";"4.645"
"2002-02";"M0";"HUF100";"0.606"
"2002-02";"M0";"PLN100";"40.5345"
"2002-02";"M0";"RUB1";"0.055"
"2002-02";"M0";"SEK100";"16.0795"
"2002-02";"M0";"TRY100";"0.00012"
"2002-02";"M0";"USD1";"1.6979"
"2002-02";"M0";"CAD1";"1.0638"
"2002-02";"M0";"ARS1";"83.2805"
"2002-02";"M0";"BRL100";"70.065"
"2002-02";"M0";"MXN100";"18.6495"
"2002-02";"M0";"ZAR1";"0.1477"
"2002-02";"M0";"JPY100";"1.27102"
"2002-02";"M0";"AUD1";"0.87052"
"2002-02";"M0";"CNY100";"20.5054"
"2002-02";"M0";"HKD100";"21.76928"
"2002-02";"M0";"KRW100";"0.1287"
"2002-02";"M0";"MYR100";"44.6775"
"2002-02";"M0";"NZD1";"0.711"
"2002-02";"M0";"SGD1";"0.9269"
"2002-02";"M0";"THB100";"3.8728"
"2002-02";"M0";"XDR1";"2.11396"
"2002-02";"M0";"USD3M";
"2002-02";"M0";"USD6M";
"2002-03";"M0";"EUR1";"1.468"
"2002-03";"M0";"GBP1";"2.3822"
"2002-03";"M0";"DKK100";"19.746"
"2002-03";"M0";"NOK100";"19.012"
"2002-03";"M0";"CZK100";"4.6695"
"2002-03";"M0";"HUF100";"0.5989"
"2002-03";"M0";"PLN100";"40.4415"
"2002-03";"M0";"RUB1";"0.0538"
"2002-03";"M0";"SEK100";"16.1995"
"2002-03";"M0";"TRY100";"0.00012"
"2002-03";"M0";"USD1";"1.6753"
"2002-03";"M0";"CAD1";"1.0554"
"2002-03";"M0";"ARS1";"69.4385"
"2002-03";"M0";"BRL100";"71.355"
"2002-03";"M0";"MXN100";"18.466"
"2002-03";"M0";"ZAR1";"0.1452"
"2002-03";"M0";"JPY100";"1.27779"
"2002-03";"M0";"AUD1";"0.87784"
"2002-03";"M0";"CNY100";"20.23138"
"2002-03";"M0";"HKD100";"21.47951"
"2002-03";"M0";"KRW100";"0.1267"
"2002-03";"M0";"MYR100";"44.0835"
"2002-03";"M0";"NZD1";"0.7237"
"2002-03";"M0";"SGD1";"0.9159"
"2002-03";"M0";"THB100";"3.8592"
"2002-03";"M0";"XDR1";"2.09582"
"2002-03";"M0";"USD3M";
"2002-03";"M0";"USD6M";
"2002-04";"M0";"EUR1";"1.466"
"2002-04";"M0";"GBP1";"2.3871"
"2002-04";"M0";"DKK100";"19.7162"
"2002-04";"M0";"NOK100";"19.2162"
"2002-04";"M0";"CZK100";"4.8249"
"2002-04";"M0";"HUF100";"0.6044"
"2002-04";"M0";"PLN100";"40.7567"
"2002-04";"M0";"RUB1";"0.053"
"2002-04";"M0";"SEK100";"16.0495"
"2002-04";"M0";"TRY100";"0.00013"
"2002-04";"M0";"USD1";"1.6549"
"2002-04";"M0";"CAD1";"1.046"
"2002-04";"M0";"ARS1";"56.091"
"2002-04";"M0";"BRL100";"71.3429"
"2002-04";"M0";"MXN100";"18.0748"
"2002-04";"M0";"ZAR1";"0.1493"
"2002-04";"M0";"JPY100";"1.26536"
"2002-04";"M0";"AUD1";"0.88598"
"2002-04";"M0";"CNY100";"19.97732"
"2002-04";"M0";"HKD100";"21.21726"
"2002-04";"M0";"KRW100";"0.1254"
"2002-04";"M0";"MYR100";"43.5443"
"2002-04";"M0";"NZD1";"0.7326"
"2002-04";"M0";"SGD1";"0.905"
"2002-04";"M0";"THB100";"3.8096"
"2002-04";"M0";"XDR1";"2.08011"
"2002-04";"M0";"USD3M";
"2002-04";"M0";"USD6M";
"2002-05";"M0";"EUR1";"1.4567"
"2002-05";"M0";"GBP1";"2.3175"
"2002-05";"M0";"DKK100";"19.5835"
"2002-05";"M0";"NOK100";"19.372"
"2002-05";"M0";"CZK100";"4.7637"
"2002-05";"M0";"HUF100";"0.5971"
"2002-05";"M0";"PLN100";"39.2035"
"2002-05";"M0";"RUB1";"0.0507"
"2002-05";"M0";"SEK100";"15.795"
"2002-05";"M0";"TRY100";"0.00011"
"2002-05";"M0";"USD1";"1.5876"
"2002-05";"M0";"CAD1";"1.0241"
"2002-05";"M0";"ARS1";"47.582"
"2002-05";"M0";"BRL100";"64.055"
"2002-05";"M0";"MXN100";"16.6645"
"2002-05";"M0";"ZAR1";"0.1563"
"2002-05";"M0";"JPY100";"1.25664"
"2002-05";"M0";"AUD1";"0.87383"
"2002-05";"M0";"CNY100";"19.18352"
"2002-05";"M0";"HKD100";"20.35422"
"2002-05";"M0";"KRW100";"0.1258"
"2002-05";"M0";"MYR100";"41.7725"
"2002-05";"M0";"NZD1";"0.7334"
"2002-05";"M0";"SGD1";"0.882"
"2002-05";"M0";"THB100";"3.7066"
"2002-05";"M0";"XDR1";"2.03007"
"2002-05";"M0";"USD3M";
"2002-05";"M0";"USD6M";
"2002-06";"M0";"EUR1";"1.4716"
"2002-06";"M0";"GBP1";"2.2844"
"2002-06";"M0";"DKK100";"19.7935"
"2002-06";"M0";"NOK100";"19.8525"
"2002-06";"M0";"CZK100";"4.8488"
"2002-06";"M0";"HUF100";"0.6058"
"2002-06";"M0";"PLN100";"38.2505"
"2002-06";"M0";"RUB1";"0.049"
"2002-06";"M0";"SEK100";"16.1385"
"2002-06";"M0";"TRY100";"0.0001"
"2002-06";"M0";"USD1";"1.5408"
"2002-06";"M0";"CAD1";"1.006"
"2002-06";"M0";"ARS1";"42.269"
"2002-06";"M0";"BRL100";"57.05"
"2002-06";"M0";"MXN100";"15.782"
"2002-06";"M0";"ZAR1";"0.1514"
"2002-06";"M0";"JPY100";"1.24792"
"2002-06";"M0";"AUD1";"0.8764"
"2002-06";"M0";"CNY100";"18.59635"
"2002-06";"M0";"HKD100";"19.7543"
"2002-06";"M0";"KRW100";"0.1261"
"2002-06";"M0";"MYR100";"40.544"
"2002-06";"M0";"NZD1";"0.7536"
"2002-06";"M0";"SGD1";"0.8641"
"2002-06";"M0";"THB100";"3.6548"
"2002-06";"M0";"XDR1";"2.00338"
"2002-06";"M0";"USD3M";
"2002-06";"M0";"USD6M";
"2002-07";"M0";"EUR1";"1.4626"
"2002-07";"M0";"GBP1";"2.29"
"2002-07";"M0";"DKK100";"19.6826"
"2002-07";"M0";"NOK100";"19.7274"
"2002-07";"M0";"CZK100";"4.9211"
"2002-07";"M0";"HUF100";"0.5927"
"2002-07";"M0";"PLN100";"35.7648"
"2002-07";"M0";"RUB1";"0.0467"
"2002-07";"M0";"SEK100";"15.7717"
"2002-07";"M0";"TRY100";"0.00009"
"2002-07";"M0";"USD1";"1.474"
"2002-07";"M0";"CAD1";"0.9555"
"2002-07";"M0";"ARS1";"40.5265"
"2002-07";"M0";"BRL100";"50.5"
"2002-07";"M0";"MXN100";"15.0539"
"2002-07";"M0";"ZAR1";"0.1455"
"2002-07";"M0";"JPY100";"1.24822"
"2002-07";"M0";"AUD1";"0.8162"
"2002-07";"M0";"CNY100";"17.79626"
"2002-07";"M0";"HKD100";"18.89706"
"2002-07";"M0";"KRW100";"0.1244"
"2002-07";"M0";"MYR100";"38.7843"
"2002-07";"M0";"NZD1";"0.7082"
"2002-07";"M0";"SGD1";"0.8404"
"2002-07";"M0";"THB100";"3.5736"
"2002-07";"M0";"XDR1";"1.96031"
"2002-07";"M0";"USD3M";
"2002-07";"M0";"USD6M";
"2002-08";"M0";"EUR1";"1.4639"
"2002-08";"M0";"GBP1";"2.2998"
"2002-08";"M0";"DKK100";"19.7038"
"2002-08";"M0";"NOK100";"19.6881"
"2002-08";"M0";"CZK100";"4.7469"
"2002-08";"M0";"HUF100";"0.5965"
"2002-08";"M0";"PLN100";"35.8714"
"2002-08";"M0";"RUB1";"0.0474"
"2002-08";"M0";"SEK100";"15.829"
"2002-08";"M0";"TRY100";"0.00009"
"2002-08";"M0";"USD1";"1.4977"
"2002-08";"M0";"CAD1";"0.9547"
"2002-08";"M0";"ARS1";"41.319"
"2002-08";"M0";"BRL100";"48.2095"
"2002-08";"M0";"MXN100";"15.2214"
"2002-08";"M0";"ZAR1";"0.141"
"2002-08";"M0";"JPY100";"1.25794"
"2002-08";"M0";"AUD1";"0.81109"
"2002-08";"M0";"CNY100";"18.08309"
"2002-08";"M0";"HKD100";"19.20039"
"2002-08";"M0";"KRW100";"0.125"
"2002-08";"M0";"MYR100";"39.4067"
"2002-08";"M0";"NZD1";"0.6948"
"2002-08";"M0";"SGD1";"0.8528"
"2002-08";"M0";"THB100";"3.5477"
"2002-08";"M0";"XDR1";"1.97891"
"2002-08";"M0";"USD3M";
"2002-08";"M0";"USD6M";
"2002-09";"M0";"EUR1";"1.4651"
"2002-09";"M0";"GBP1";"2.323"
"2002-09";"M0";"DKK100";"19.7229"
"2002-09";"M0";"NOK100";"19.8938"
"2002-09";"M0";"CZK100";"4.8464"
"2002-09";"M0";"HUF100";"0.6005"
"2002-09";"M0";"PLN100";"35.9757"
"2002-09";"M0";"RUB1";"0.0472"
"2002-09";"M0";"SEK100";"15.9752"
"2002-09";"M0";"TRY100";"0.00009"
"2002-09";"M0";"USD1";"1.4938"
"2002-09";"M0";"CAD1";"0.9493"
"2002-09";"M0";"ARS1";"40.9371"
"2002-09";"M0";"BRL100";"45.3238"
"2002-09";"M0";"MXN100";"14.84"
"2002-09";"M0";"ZAR1";"0.1406"
"2002-09";"M0";"JPY100";"1.23741"
"2002-09";"M0";"AUD1";"0.81678"
"2002-09";"M0";"CNY100";"18.0511"
"2002-09";"M0";"HKD100";"19.15126"
"2002-09";"M0";"KRW100";"0.1234"
"2002-09";"M0";"MYR100";"39.3071"
"2002-09";"M0";"NZD1";"0.7021"
"2002-09";"M0";"SGD1";"0.8459"
"2002-09";"M0";"THB100";"3.486"
"2002-09";"M0";"XDR1";"1.97415"
"2002-09";"M0";"USD3M";
"2002-09";"M0";"USD6M";
"2002-10";"M0";"EUR1";"1.4649"
"2002-10";"M0";"GBP1";"2.3242"
"2002-10";"M0";"DKK100";"19.713"
"2002-10";"M0";"NOK100";"19.9561"
"2002-10";"M0";"CZK100";"4.7738"
"2002-10";"M0";"HUF100";"0.6013"
"2002-10";"M0";"PLN100";"36.2287"
"2002-10";"M0";"RUB1";"0.047"
"2002-10";"M0";"SEK100";"16.0848"
"2002-10";"M0";"TRY100";"0.00009"
"2002-10";"M0";"USD1";"1.4929"
"2002-10";"M0";"CAD1";"0.9458"
"2002-10";"M0";"ARS1";"40.7109"
"2002-10";"M0";"BRL100";"39.2739"
"2002-10";"M0";"MXN100";"14.7904"
"2002-10";"M0";"ZAR1";"0.1444"
"2002-10";"M0";"JPY100";"1.20505"
"2002-10";"M0";"AUD1";"0.82103"
"2002-10";"M0";"CNY100";"18.03609"
"2002-10";"M0";"HKD100";"19.14077"
"2002-10";"M0";"KRW100";"0.1203"
"2002-10";"M0";"MYR100";"39.2813"
"2002-10";"M0";"NZD1";"0.7183"
"2002-10";"M0";"SGD1";"0.836"
"2002-10";"M0";"THB100";"3.4188"
"2002-10";"M0";"XDR1";"1.96845"
"2002-10";"M0";"USD3M";
"2002-10";"M0";"USD6M";
"2002-11";"M0";"EUR1";"1.4673"
"2002-11";"M0";"GBP1";"2.3028"
"2002-11";"M0";"DKK100";"19.749"
